microservice,type,parameter,categorical,discrete,float,range,step,conditional,units,comments
nginx-web-server,frontend,worker_processes,,1,,1;48,2,,,
nginx-web-server,frontend,worker_connections,,1,,512;2048,256,,,
nginx-web-server,frontend,threads,,1,,1;48,2,,,
nginx-web-server,frontend,max_queue,,1,,100;65536,,,,thread queue size
cast-info-memcached,memcached,,,,,,,,,
cast-info-memcached,memcached,,,,,,,,,
cast-info-memcached,memcached,,,,,,,,,
cast-info-memcached,memcached,,,,,,,,,
cast-info-memcached,memcached,,,,,,,,,
compose-review-memcached,memcached,,,,,,,,,
compose-review-memcached,memcached,,,,,,,,,
compose-review-memcached,memcached,,,,,,,,,
compose-review-memcached,memcached,,,,,,,,,
compose-review-memcached,memcached,,,,,,,,,
movie-id-memcached,memcached,m,,1,,64;20000,1000,,,
movie-id-memcached,memcached,c,,1,,512;2048,512,,,
movie-id-memcached,memcached,R,,1,,1;100,20,,,
movie-id-memcached,memcached,t,,1,,1;24,2,,,
movie-id-memcached,memcached,f,,,1,1.01;3,0.25,,,
movie-info-memcached,memcached,,,,,,,,,
movie-info-memcached,memcached,,,,,,,,,
movie-info-memcached,memcached,,,,,,,,,
movie-info-memcached,memcached,,,,,,,,,
movie-info-memcached,memcached,,,,,,,,,
plot-memcached,memcached,m,,1,,64;20000,1000,,,
plot-memcached,memcached,c,,1,,512;2048,512,,,
plot-memcached,memcached,R,,1,,1;100,20,,,
plot-memcached,memcached,t,,1,,1;24,2,,,
plot-memcached,memcached,f,,,1,1.01;3,0.25,,,
review-storage-memcached,memcached,,,,,,,,,
review-storage-memcached,memcached,,,,,,,,,
review-storage-memcached,memcached,,,,,,,,,
review-storage-memcached,memcached,,,,,,,,,
review-storage-memcached,memcached,,,,,,,,,
user-memcached,memcached,m,,1,,64;20000,1000,,,
user-memcached,memcached,c,,1,,512;2048,512,,,
user-memcached,memcached,R,,1,,1;100,20,,,
user-memcached,memcached,t,,1,,1;24,2,,,
user-memcached,memcached,f,,,1,1.01;3,0.25,,,
cast-info-mongodb,mongo,,,,,,,,,
cast-info-mongodb,mongo,,,,,,,,,
cast-info-mongodb,mongo,,,,,,,,,
cast-info-mongodb,mongo,,,,,,,,,
cast-info-mongodb,mongo,,,,,,,,,
movie-id-mongodb,mongo,,,,,,,,,
movie-id-mongodb,mongo,,,,,,,,,
movie-id-mongodb,mongo,,,,,,,,,
movie-id-mongodb,mongo,,,,,,,,,
movie-id-mongodb,mongo,,,,,,,,,
movie-info-mongodb,mongo,,,,,,,,,
movie-info-mongodb,mongo,,,,,,,,,
movie-info-mongodb,mongo,,,,,,,,,
movie-info-mongodb,mongo,,,,,,,,,
movie-info-mongodb,mongo,,,,,,,,,
movie-review-mongodb,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,
movie-review-mongodb,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
movie-review-mongodb,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
movie-review-mongodb,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
movie-review-mongodb,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
plot-mongodb,mongo,,,,,,,,,
plot-mongodb,mongo,,,,,,,,,
plot-mongodb,mongo,,,,,,,,,
plot-mongodb,mongo,,,,,,,,,
plot-mongodb,mongo,,,,,,,,,
review-storage-mongodb,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,
review-storage-mongodb,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
review-storage-mongodb,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
review-storage-mongodb,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
review-storage-mongodb,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
user-mongodb,mongo,,,,,,,,,
user-mongodb,mongo,,,,,,,,,
user-mongodb,mongo,,,,,,,,,
user-mongodb,mongo,,,,,,,,,
user-mongodb,mongo,,,,,,,,,
user-review-mongodb,mongo,,,,,,,,,
user-review-mongodb,mongo,,,,,,,,,
user-review-mongodb,mongo,,,,,,,,,
user-review-mongodb,mongo,,,,,,,,,
user-review-mongodb,mongo,,,,,,,,,
movie-review-redis,redis,maxmemory,,1,,10000;20000,1000,,,"add ""mb"""
movie-review-redis,redis,maxmemory-policy,1,1,,volatile-lru;allkeys-lru;volatile-lfu;allkeys-lfu;volatile-random;allkeys-random;volatile-ttl;noeviction,,,,
movie-review-redis,redis,maxmemory-samples,,1,,3;10,1,,,
movie-review-redis,redis,hz,,1,,1;100,10,,,
movie-review-redis,redis,zset-max-ziplist-entries,,1,,64;512,64,,,
rating-redis,redis,,,,,,,,,
rating-redis,redis,,,,,,,,,
rating-redis,redis,,,,,,,,,
rating-redis,redis,,,,,,,,,
rating-redis,redis,,,,,,,,,
user-review-redis,redis,,,,,,,,,
user-review-redis,redis,,,,,,,,,
user-review-redis,redis,,,,,,,,,
user-review-redis,redis,,,,,,,,,
user-review-redis,redis,,,,,,,,,
cast-info-service,service,,,,,,,,,
cast-info-service,service,,,,,,,,,
compose-review-service,service,compose-review-service_io_threads,,1,,1;48,4,,,
compose-review-service,service,compose-review-service_worker_threads,,1,,24; 960,48,,,
movie-id-service,service,movie-id-service_io_threads,,1,,1;48,4,,,
movie-id-service,service,movie-id-service_worker_threads,,1,,24; 960,48,,,
movie-info-service,service,,,,,,,,,
movie-info-service,service,,,,,,,,,
movie-review-service,service,movie-review-service_io_threads,,1,,1;48,4,,,
movie-review-service,service,movie-review-service_worker_threads,,1,,24; 960,48,,,
plot-service,service,plot-service_io_threads,,1,,1;48,4,,,
plot-service,service,plot-service_worker_threads,,1,,24; 960,48,,,
rating-service,service,,,,,,,,,
rating-service,service,,,,,,,,,
review-storage-service,service,review-storage-service_io_threads,,1,,1;48,4,,,
review-storage-service,service,review-storage-service_worker_threads,,1,,24; 960,48,,,
text-service,service,text-service_io_threads,,1,,1;48,4,,,
text-service,service,text-service_worker_threads,,1,,24; 960,48,,,
unique-id-service,service,unique-id-service_io_threads,,1,,1;48,4,,,
unique-id-service,service,unique-id-service_worker_threads,,1,,24; 960,48,,,
user-review-service,service,,,,,,,,,
user-review-service,service,,,,,,,,,
user-service,service,user-service_io_threads,,1,,1;48,4,,,
user-service,service,user-service_worker_threads,,1,,24; 960,48,,,