microservice,type,parameter,categorical,discrete,float,range,step,conditional,units,comments,,,,,,range
media-memcached,memcached,,,,,,,,,,,,,,,
media-memcached,memcached,,,,,,,,,,,,,,,
post-storage-memcached,memcached,m,,1,,64;20000,1000,,,maximum memory in megabytes only. 10% to 50% of the total RAm,,,,,,
post-storage-memcached,memcached,c,,1,,512;2048,512,,,max simultaneous connections. Should match the client pool size or slightly bigger,,,,,,
post-storage-memcached,memcached,R,,1,,1;100,20,,,client starvation,,,,,,
post-storage-memcached,memcached,t,,1,,1;24,2,,,threads,,,,,,
post-storage-memcached,memcached,f,,,1,1.01;3,0.25,,,chunk growth factor,,,,,,
url-shorten-memcached,memcached,,,,,,,,,,,,,,,
url-shorten-memcached,memcached,,,,,,,,,,,,,,,
user-memcached,memcached,,,,,,,,,,,,,,,
user-memcached,memcached,,,,,,,,,,,,,,,
media-mongodb,mongo,,,,,,,,,,,,,,,
media-mongodb,mongo,,,,,,,,,,,,,,,
post-storage-mongodb,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,in GBs float,,,,,,
post-storage-mongodb,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,,,,,,,
post-storage-mongodb,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,,,,,,,
post-storage-mongodb,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,,,,,,,
post-storage-mongodb,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,,,,,,,
social-graph-mongodb,mongo,,,,,,,,,,,,,,,
social-graph-mongodb,mongo,,,,,,,,,,,,,,,
url-shorten-mongodb,mongo,,,,,,,,,,,,,,,
url-shorten-mongodb,mongo,,,,,,,,,,,,,,,
user-mongodb,mongo,,,,,,,,,,,,,,,
user-mongodb,mongo,,,,,,,,,,,,,,,
user-timeline-mongodb,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,in GBs float,,,,,,
user-timeline-mongodb,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,,,,,,,
user-timeline-mongodb,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,,,,,,,
user-timeline-mongodb,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,,,,,,,
user-timeline-mongodb,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,,,,,,,
media-frontend,frontend,,,,,,,,,,,,,,,
media-frontend,frontend,,,,,,,,,,,,,,,
nginx-thrift,frontend,worker_processes,,1,,1;48,1,,,,,,,,,
nginx-thrift,frontend,worker_connections,,1,,512;2048,256,,,,,,,,,
nginx-thrift,frontend,threads,,1,,1;48,1,,,,,,,,,
nginx-thrift,frontend,max_queue,,1,,100;10000,,,,thread queue size,,,,,,
nginx-thrift,frontend,tcp_nodelay,1,1,,on;off,,,,,,,,,,
write-home-timeline-rabbitmq,queue,,,,,,,,,,,,,,,
write-home-timeline-rabbitmq,queue,,,,,,,,,,,,,,,
social-graph-redis,redis,,,,,,,,,,,,,,,
social-graph-redis,redis,,,,,,,,,,,,,,,
social-graph-redis,redis,,,,,,,,,,,,,,,
social-graph-redis,redis,,,,,,,,,,,,,,,
social-graph-redis,redis,,,,,,,,,,,,,,,
compose-post-redis,redis,,,,,,,,,,,,,,,
compose-post-redis,redis,,,,,,,,,,,,,,,
compose-post-redis,redis,,,,,,,,,,,,,,,
compose-post-redis,redis,,,,,,,,,,,,,,,
compose-post-redis,redis,,,,,,,,,,,,,,,
home-timeline-redis,redis,,,,,,,,,,,,,,,
home-timeline-redis,redis,,,,,,,,,,,,,,,
home-timeline-redis,redis,,,,,,,,,,,,,,,
home-timeline-redis,redis,,,,,,,,,,,,,,,
home-timeline-redis,redis,,,,,,,,,,,,,,,
user-timeline-redis,redis,,,,,,,,,,,,,,,
user-timeline-redis,redis,,,,,,,,,,,,,,,
compose-post-service,service,compose-post-service_io_threads,,1,,1;48,4,,,,,,,,,
compose-post-service,service,compose-post-service_worker_threads,,1,,24; 960,48,,,,,,,,,
home-timeline-service,service,,,,,,,,,,,,,,,
home-timeline-service,service,,,,,,,,,,,,,,,
media-service,service,,,,,,,,,,,,,,,
media-service,service,,,,,,,,,,,,,,,
post-storage-service,service,,,,,,,,,,,,,,,
post-storage-service,service,,,,,,,,,,,,,,,
social-graph-service,service,,,,,,,,,,,,,,,
social-graph-service,service,,,,,,,,,,,,,,,
text-service,service,,,,,,,,,,,,,,,
text-service,service,,,,,,,,,,,,,,,
unique-id-service,service,,,,,,,,,,,,,,,
unique-id-service,service,,,,,,,,,,,,,,,
url-shorten-service,service,,,,,,,,,,,,,,,
url-shorten-service,service,,,,,,,,,,,,,,,
user-mention-service,service,,,,,,,,,,,,,,,
user-mention-service,service,,,,,,,,,,,,,,,
user-service,service,,,,,,,,,,,,,,,
user-service,service,,,,,,,,,,,,,,,
user-timeline-service,service,,,,,,,,,,,,,,,
user-timeline-service,service,,,,,,,,,,,,,,,
write-home-timeline-service,service,,,,,,,,,,,,,,,